area,date,average_price,houses_sold,no_of_crimes,median_salary,life_satisfaction,mean_salary,population_size,number_of_jobs,area_size,no_of_houses,density,code
barking and dagenham,2011/12/31,163465.0833,121.5,1560.833333,28201,7.05,33568,187029,54000,3780,71079,18.8,E09000002
barking and dagenham,2012/12/31,165863.9167,111.8333333,1447,33131,7.09,37059,190560,55000,3780,71431,18.9,E09000002
barking and dagenham,2013/12/31,173733.6667,149,1377.916667,32248,7.01,37214,194352,54000,3780,71937,19,E09000002
barking and dagenham,2014/12/31,201172.25,188.25,1352.333333,32698,7.32,36323,198294,59000,3780,72668,19.2,E09000002
barking and dagenham,2015/12/31,233460.0833,200.4166667,1431.666667,33018,7.45,36705,201979,62000,3780,73182,19.4,E09000002
barking and dagenham,2016/12/31,273919.75,183.5833333,1474.166667,30994,7.5,37959,206460,63000,3780,73914,19.6,E09000002
barking and dagenham,2017/12/31,287734.8333,172.5,1556.166667,28553,7.66,32093,210711,66000,3780,74510,19.7,E09000002
barking and dagenham,2018/12/31,295196.6667,161.0833333,1523.416667,29995,7.52,32671,211998,66000,3780,74923,19.8,E09000002
barnet,2011/12/31,338978,325.6666667,2199.416667,30237,7.43,33062,357538,147000,8675,139346,16.1,E09000003
barnet,2012/12/31,358627.4167,337.9166667,2138.5,29594,7.28,33044,363956,154000,8675,141461,16.3,E09000003
barnet,2013/12/31,374770.5833,397.5833333,1934.5,29353,7.4,33766,369088,159000,8675,142835,16.5,E09000003
barnet,2014/12/31,430363.3333,421.5,1919.583333,31162,7.54,34936,374915,165000,8675,143948,16.6,E09000003
barnet,2015/12/31,478688.0833,427.0833333,2051.916667,30900,7.53,34730,379691,168000,8675,145272,16.7,E09000003
barnet,2016/12/31,525939.5,424.9166667,2141.416667,32623,7.47,35315,386083,169000,8675,146730,16.9,E09000003
barnet,2017/12/31,538280.9167,335.6666667,2249.916667,32143,7.63,36818,387803,176000,8675,148529,17.1,E09000003
barnet,2018/12/31,533266.4167,325.9166667,2356.083333,29927,7.55,36776,392140,170000,8675,150737,17.4,E09000003
bexley,2011/12/31,200672.0833,212.0833333,1027.083333,28638,7.42,31812,232774,78000,6429,95037,14.8,E09000004
bexley,2012/12/31,202546.4167,239.5,1030.416667,27440,7.42,30833,234271,78000,6429,95240,14.8,E09000004
bexley,2013/12/31,213470.25,281.5,992.8333333,28512,7.28,32463,236687,80000,6429,95658,14.9,E09000004
bexley,2014/12/31,244459.5833,328.6666667,1017,28505,7.52,31878,239865,80000,6429,96186,15,E09000004
bexley,2015/12/31,274209.25,328.5,1028.833333,29664,7.41,33367,242142,86000,6429,96996,15.1,E09000004
bexley,2017/12/31,335694.4167,273.25,1235.166667,30733,7.42,33857,246124,91000,6429,97628,15.2,E09000004
brent,2011/12/31,298964.4167,182.5833333,2600.5,26772,7.11,29609,312245,115000,4323,112083,25.9,E09000005
brent,2012/12/31,314112.8333,171.4166667,2384.25,27577,7.28,32089,314660,123000,4323,112643,26.1,E09000005
brent,2013/12/31,339655.75,205.4166667,2057,28034,7.41,34480,317264,125000,4323,113305,26.2,E09000005
brent,2014/12/31,394687.4167,248.6666667,2100.916667,29514,7.24,33484,320762,131000,4323,114039,26.4,E09000005
brent,2015/12/31,440951.75,260.5,2135.666667,29987,7.55,34281,324012,136000,4323,115598,26.7,E09000005
