date,area,average_price
1995/1/1,inner london,78252
1995/2/1,inner london,75886
1995/3/1,inner london,76592
1995/4/1,inner london,76852
1995/5/1,inner london,79129
1995/6/1,inner london,79969
1995/7/1,inner london,80550
1995/8/1,inner london,80598
1995/9/1,inner london,80403
1995/10/1,inner london,79682
1995/11/1,inner london,78965
1995/12/1,inner london,79065
1996/1/1,inner london,79906
1996/2/1,inner london,81215
1996/3/1,inner london,81539
1996/4/1,inner london,82105
1996/5/1,inner london,82457
1996/6/1,inner london,83723
1996/7/1,inner london,84789
1996/8/1,inner london,85391
1996/9/1,inner london,85652
1996/10/1,inner london,85519
1996/11/1,inner london,86085
1996/12/1,inner london,86732
1997/1/1,inner london,88470
1997/2/1,inner london,90179
1997/3/1,inner london,91811
1997/4/1,inner london,93279
1997/5/1,inner london,95428
1997/6/1,inner london,97502
1997/7/1,inner london,99541
1997/8/1,inner london,100192
1997/9/1,inner london,101795
1997/10/1,inner london,101990
1997/11/1,inner london,103175
1997/12/1,inner london,103707
1998/1/1,inner london,105599
1998/2/1,inner london,106183
1998/3/1,inner london,107683
1998/4/1,inner london,109591
1998/5/1,inner london,111454
1998/6/1,inner london,112766
1998/7/1,inner london,113760
1998/8/1,inner london,114673
1998/9/1,inner london,115106
1998/10/1,inner london,114098
1998/11/1,inner london,114076
1998/12/1,inner london,114075
1999/1/1,inner london,115390
1999/2/1,inner london,116440
1999/3/1,inner london,117768
1999/4/1,inner london,119428
1999/5/1,inner london,122126
1999/6/1,inner london,124652
1999/7/1,inner london,128244
1999/8/1,inner london,132053
1999/9/1,inner london,136917
1999/10/1,inner london,138876
1999/11/1,inner london,140531
1999/12/1,inner london,141875
2000/1/1,inner london,144575
2000/2/1,inner london,148049
2000/3/1,inner london,150488
2000/4/1,inner london,155672
2000/5/1,inner london,157870
2000/6/1,inner london,161869
2000/7/1,inner london,163858
2000/8/1,inner london,167258
2000/9/1,inner london,168398
2000/10/1,inner london,167028
2000/11/1,inner london,168008
2000/12/1,inner london,168318
2001/1/1,inner london,171315
2001/2/1,inner london,171035
2001/3/1,inner london,172912
2001/4/1,inner london,174308
2001/5/1,inner london,178888
2001/6/1,inner london,182302
2001/7/1,inner london,185050
2001/8/1,inner london,187075
2001/9/1,inner london,188033
2001/10/1,inner london,189470
2001/11/1,inner london,189196
2001/12/1,inner london,190503
2002/1/1,inner london,191783
2002/2/1,inner london,193149
2002/3/1,inner london,194887
2002/4/1,inner london,198728
2002/5/1,inner london,204006
2002/6/1,inner london,209830
2002/7/1,inner london,214491
2002/8/1,inner london,218646
2002/9/1,inner london,221315
2002/10/1,inner london,222762
2002/11/1,inner london,224640
2002/12/1,inner london,225915
2003/1/1,inner london,228241
2003/2/1,inner london,227632
2003/3/1,inner london,227378
2003/4/1,inner london,227423
2003/5/1,inner london,229348
2003/6/1,inner london,229711
2003/7/1,inner london,231634
2003/8/1,inner london,232201
2003/9/1,inner london,234195
2003/10/1,inner london,233025
2003/11/1,inner london,234039
2003/12/1,inner london,235857
2004/1/1,inner london,238239
2004/2/1,inner london,239296
2004/3/1,inner london,241306
2004/4/1,inner london,243660
2004/5/1,inner london,246541
2004/6/1,inner london,249365
2004/7/1,inner london,253340
2004/8/1,inner london,256614
2004/9/1,inner london,258547
2004/10/1,inner london,256051
2004/11/1,inner london,255566
2004/12/1,inner london,252858
2005/1/1,inner london,253536
2005/2/1,inner london,253301
2005/3/1,inner london,254701
2005/4/1,inner london,257293
2005/5/1,inner london,257978
2005/6/1,inner london,259661
2005/7/1,inner london,260764
2005/8/1,inner london,263219
2005/9/1,inner london,263543
2005/10/1,inner london,261045
2005/11/1,inner london,259643
2005/12/1,inner london,261627
2006/1/1,inner london,264926
2006/2/1,inner london,265721
2006/3/1,inner london,267544
2006/4/1,inner london,270595
2006/5/1,inner london,275878
2006/6/1,inner london,280741
2006/7/1,inner london,284717
2006/8/1,inner london,288587
2006/9/1,inner london,290734
2006/10/1,inner london,293114
2006/11/1,inner london,293277
2006/12/1,inner london,296269
2007/1/1,inner london,300576
2007/2/1,inner london,306776
2007/3/1,inner london,312079
2007/4/1,inner london,317362
2007/5/1,inner london,323398
2007/6/1,inner london,329352
2007/7/1,inner london,336860
2007/8/1,inner london,344875
2007/9/1,inner london,351132
2007/10/1,inner london,352419
2007/11/1,inner london,349987
2007/12/1,inner london,347492
2008/1/1,inner london,345989
2008/2/1,inner london,346036
2008/3/1,inner london,344576
2008/4/1,inner london,343547
2008/5/1,inner london,343643
2008/6/1,inner london,342310
2008/7/1,inner london,343200
2008/8/1,inner london,337539
2008/9/1,inner london,334087
2008/10/1,inner london,323442
2008/11/1,inner london,314977
2008/12/1,inner london,303759
2009/1/1,inner london,297825
2009/2/1,inner london,294734
2009/3/1,inner london,294522
2009/4/1,inner london,291934
2009/5/1,inner london,292880
2009/6/1,inner london,296092
2009/7/1,inner london,303349
2009/8/1,inner london,307409
2009/9/1,inner london,314011
2009/10/1,inner london,317738
2009/11/1,inner london,320248
2009/12/1,inner london,318631
2010/1/1,inner london,324531
2010/2/1,inner london,331100
2010/3/1,inner london,336741
2010/4/1,inner london,337575
2010/5/1,inner london,338198
2010/6/1,inner london,341405
2010/7/1,inner london,345792
2010/8/1,inner london,349397
2010/9/1,inner london,349993
2010/10/1,inner london,345968
2010/11/1,inner london,341157
2010/12/1,inner london,340006
2011/1/1,inner london,341638
2011/2/1,inner london,344710
2011/3/1,inner london,347737
2011/4/1,inner london,354441
2011/5/1,inner london,353002
2011/6/1,inner london,352698
2011/7/1,inner london,352137
2011/8/1,inner london,360017
2011/9/1,inner london,363437
2011/10/1,inner london,360135
2011/11/1,inner london,357548
2011/12/1,inner london,355727
2012/1/1,inner london,358560
2012/2/1,inner london,358014
2012/3/1,inner london,358499
2012/4/1,inner london,360811
2012/5/1,inner london,368180
2012/6/1,inner london,376259
2012/7/1,inner london,380455
2012/8/1,inner london,383888
2012/9/1,inner london,384885
2012/10/1,inner london,385802
2012/11/1,inner london,384930
2012/12/1,inner london,388966
2013/1/1,inner london,390038
2013/2/1,inner london,395422
2013/3/1,inner london,393128
2013/4/1,inner london,399722
2013/5/1,inner london,402136
2013/6/1,inner london,409238
2013/7/1,inner london,414525
2013/8/1,inner london,421121
2013/9/1,inner london,431676
2013/10/1,inner london,435061
2013/11/1,inner london,439723
2013/12/1,inner london,445132
2014/1/1,inner london,452766
2014/2/1,inner london,460081
2014/3/1,inner london,462876
2014/4/1,inner london,470731
2014/5/1,inner london,482728
2014/6/1,inner london,493876
2014/7/1,inner london,503943
2014/8/1,inner london,511626
2014/9/1,inner london,518513
2014/10/1,inner london,518899
2014/11/1,inner london,514369
2014/12/1,inner london,512011
2015/1/1,inner london,512581
2015/2/1,inner london,514883
2015/3/1,inner london,514288
2015/4/1,inner london,516626
2015/5/1,inner london,522777
2015/6/1,inner london,529292
2015/7/1,inner london,538073
2015/8/1,inner london,543936
2015/9/1,inner london,552796
2015/10/1,inner london,551523
2015/11/1,inner london,553908
2015/12/1,inner london,553855
2016/1/1,inner london,563206
2016/2/1,inner london,565405
2016/3/1,inner london,573538
2016/4/1,inner london,570187
2016/5/1,inner london,571469
2016/6/1,inner london,566684
2016/7/1,inner london,571652
2016/8/1,inner london,571709
2016/9/1,inner london,575680
2016/10/1,inner london,574414
2016/11/1,inner london,577948
2016/12/1,inner london,577117
2017/1/1,inner london,579471
2017/2/1,inner london,582285
2017/3/1,inner london,582411
2017/4/1,inner london,584782
2017/5/1,inner london,584443
2017/6/1,inner london,586942
2017/7/1,inner london,589999
2017/8/1,inner london,592845
2017/9/1,inner london,593486
2017/10/1,inner london,588513
2017/11/1,inner london,581921
2017/12/1,inner london,578215
2018/1/1,inner london,578599
2018/2/1,inner london,580096
2018/3/1,inner london,577904
2018/4/1,inner london,577545
2018/5/1,inner london,577204
2018/6/1,inner london,579055
2018/7/1,inner london,579120
2018/8/1,inner london,578411
2018/9/1,inner london,576272
2018/10/1,inner london,574186
2018/11/1,inner london,573249
2018/12/1,inner london,572468
2019/1/1,inner london,566764
2019/2/1,inner london,560818
2019/3/1,inner london,560384
2019/4/1,inner london,563545
2019/5/1,inner london,565648
2019/6/1,inner london,565308
2019/7/1,inner london,569119
2019/8/1,inner london,571661
2019/9/1,inner london,577852
2019/10/1,inner london,575198
2019/11/1,inner london,574539
1995/1/1,outer london,72959
1995/2/1,outer london,72938
1995/3/1,outer london,72715
1995/4/1,outer london,72592
1995/5/1,outer london,72753
1995/6/1,outer london,73189
1995/7/1,outer london,73666
1995/8/1,outer london,73691
1995/9/1,outer london,73454
1995/10/1,outer london,72972
1995/11/1,outer london,72623
1995/12/1,outer london,72691
1996/1/1,outer london,72792
1996/2/1,outer london,73125
1996/3/1,outer london,73221
1996/4/1,outer london,73653
1996/5/1,outer london,74044
1996/6/1,outer london,74639
1996/7/1,outer london,75126
1996/8/1,outer london,75750
1996/9/1,outer london,76430
1996/10/1,outer london,76850
